District,School_Number,SCHOOL_NAME,Grade,Female (w),Male (w),Female (b),Male (b),Female (h),Male (h),Female (a),Male (a),Female (pi),Male (pi),Female (na),Male (na),Female (2+),Male (2+),Female (tot),Male (tot),Total
COLLIER,9027,BEACON HIGH SCHOOL,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
COLLIER,9032,MARCO ISLAND ACADEMY,12,11,13,,1,3,5,1,,,,,,,,15,19,34
COLUMBIA,11,COLUMBIA HIGH SCHOOL,12,118,112,33,33,6,7,3,,,,1,,5,2,166,154,320
COLUMBIA,123,FORT WHITE HIGH SCHOOL,12,46,52,8,5,3,3,,,,,,,1,2,58,62,120
DADE,6016,SOMERSET VIRTUAL ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,6040,DOCTORS CHARTER SCHOOL OF MIAMI SHORES,12,3,6,15,18,7,12,,2,,,,,,,25,38,63
DADE,6997,MATER VIRTUAL ACADEMY CHARTER MIDDLE/HIGH SCHOOL,12,,,2,,3,9,,,,,,,,,5,9,14
DADE,7001,MIAMI-DADE ONLINE ACADEMY- VIRTUAL INSTRUCTION PROGRAM,12,1,1,1,,6,8,,2,,,,,,,8,11,19
DADE,7007,INTERNATIONAL STUDIES CHARTER HIGH SCHOOL,12,15,12,2,,35,19,1,,,,,,,,53,31,84
DADE,7009,DORAL PERFORMING ARTS & ENTERTAINMENT ACADEMY,12,8,5,,,61,21,1,,,,,,,,70,26,96
DADE,7011,AMERICAN SENIOR HIGH SCHOOL,12,6,10,52,47,149,121,1,6,,,,,,,208,184,392
DADE,7014,MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY,12,1,,1,3,36,15,,,,,,,,,38,18,56
DADE,7015,STELLAR LEADERSHIP ACADEMY,12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
DADE,7016,SPORTS LEADERSHIP OF MIAMI CHARTER HIGH SCHOOL,12,,2,,9,19,25,,,,,,,,,19,36,55
